# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 60K of event 'cycles'
# Event count (approx.): 722242491911
#
# Children      Self       Samples  Command          Shared Object     Symbol                                   
# ........  ........  ............  ...............  ................  .........................................
#
     0.31%     0.13%            81  fio              [kernel.vmlinux]  [k] _raw_spin_unlock
     0.31%     0.23%           139  fio              fio               [.] io_queue_event
     0.31%     0.30%           180  fio              [kernel.vmlinux]  [k] llist_add_batch
     0.30%     0.22%           133  fio              fio               [.] td_io_getevents
     0.30%     0.19%           114  fio              [kernel.vmlinux]  [k] add_interrupt_randomness
     0.29%     0.22%           130  fio              [kernel.vmlinux]  [k] folio_unlock
     0.29%     0.12%            70  fio              [kernel.vmlinux]  [k] fpregs_assert_state_consistent
     0.29%     0.10%            62  fio              [kernel.vmlinux]  [k] __check_object_size
     0.29%     0.27%           163  fio              [kernel.vmlinux]  [k] __io_commit_cqring_flush
     0.29%     0.12%            74  fio              [kernel.vmlinux]  [k] iov_iter_revert
     0.29%     0.17%           103  fio              [kernel.vmlinux]  [k] blkdev_dio_unaligned.isra.0
     0.28%     0.25%           151  fio              [kernel.vmlinux]  [k] fput
     0.28%     0.17%           105  fio              [kernel.vmlinux]  [k] bio_integrity_prep
     0.27%     0.15%            89  fio              fio               [.] ntime_since
     0.27%     0.10%            63  fio              libc.so.6         [.] __memset_evex_unaligned_erms
     0.25%     0.24%           142  fio              [kernel.vmlinux]  [k] mutex_trylock
     0.23%     0.07%            40  fio              [kernel.vmlinux]  [k] irq_enter_rcu
     0.23%     0.16%            96  fio              [kernel.vmlinux]  [k] xas_start
     0.23%     0.08%            48  fio              [kernel.vmlinux]  [k] __rq_qos_track
     0.23%     0.11%            68  fio              [kernel.vmlinux]  [k] wbt_wait
     0.23%     0.14%            87  fio              fio               [.] put_io_u
     0.23%     0.18%           107  fio              [kernel.vmlinux]  [k] folio_mapping
     0.21%     0.11%            69  fio              [kernel.vmlinux]  [k] check_stack_object
     0.21%     0.12%            74  fio              [kernel.vmlinux]  [k] aa_file_perm
     0.21%     0.00%             0  fio              [kernel.vmlinux]  [k] asm_exc_page_fault
     0.19%     0.12%            72  fio              [kernel.vmlinux]  [k] _find_next_zero_bit
     0.19%     0.14%            83  fio              [kernel.vmlinux]  [k] ctx_flush_and_put
     0.19%     0.17%           102  fio              [kernel.vmlinux]  [k] io_free_batch_list
     0.19%     0.14%            84  fio              [kernel.vmlinux]  [k] iov_iter_revert.part.0
     0.18%     0.08%            49  fio              fio               [.] td_io_prep
     0.18%     0.15%            90  fio              [kernel.vmlinux]  [k] update_io_ticks
     0.17%     0.08%            46  fio              [kernel.vmlinux]  [k] kick_process
     0.17%     0.02%            11  fio              [kernel.vmlinux]  [k] wake_up_state
     0.17%     0.08%            46  fio              fio               [.] in_ramp_time
     0.17%     0.10%            62  fio              [kernel.vmlinux]  [k] bio_to_wbt_flags
     0.16%     0.08%            47  fio              fio               [.] log_io_u
     0.15%     0.15%            90  fio              [kernel.vmlinux]  [k] fast_mix
     0.15%     0.00%             0  fio              [kernel.vmlinux]  [k] exc_page_fault
     0.15%     0.14%            86  fio              [kernel.vmlinux]  [k] blk_mq_complete_request_remote
     0.15%     0.06%            35  fio              [kernel.vmlinux]  [k] folio_mark_dirty
     0.15%     0.06%            39  fio              fio               [.] io_u_queued
     0.15%     0.00%             0  fio              [kernel.vmlinux]  [k] do_user_addr_fault
     0.14%     0.10%            61  fio              [kernel.vmlinux]  [k] cgroup_rstat_updated
     0.14%     0.07%            43  fio              [kernel.vmlinux]  [k] try_to_wake_up
     0.14%     0.11%            68  fio              [kernel.vmlinux]  [k] iov_iter_advance
     0.14%     0.09%            55  fio              [kernel.vmlinux]  [k] blk_attempt_plug_merge
     0.14%     0.09%            56  fio              [kernel.vmlinux]  [k] iov_iter_npages
     0.13%     0.00%             2  fio              [kernel.vmlinux]  [k] handle_mm_fault
     0.13%     0.07%            43  fio              fio               [.] fio_gettime
     0.13%     0.07%            45  fio              [kernel.vmlinux]  [k] _raw_spin_unlock_irq
     0.13%     0.09%            56  fio              fio               [.] put_file
     0.13%     0.01%             6  fio              [kernel.vmlinux]  [k] __handle_mm_fault
     0.13%     0.10%            58  fio              [kernel.vmlinux]  [k] iov_iter_is_aligned
     0.13%     0.06%            35  fio              [kernel.vmlinux]  [k] __rq_qos_issue
     0.12%     0.04%            26  fio              [kernel.vmlinux]  [k] wbt_track
     0.12%     0.09%            56  fio              [kernel.vmlinux]  [k] __get_task_ioprio
     0.12%     0.11%            64  fio              fio               [.] io_uring_submit@plt
     0.12%     0.06%            34  fio              fio               [.] ramp_time_over
     0.12%     0.12%            72  fio              [kernel.vmlinux]  [k] __irqentry_text_end
     0.12%     0.08%            48  fio              [kernel.vmlinux]  [k] __bio_try_merge_page
     0.12%     0.07%            41  fio              [kernel.vmlinux]  [k] is_valid_gup_args
     0.12%     0.06%            34  fio              fio               [.] utime_since
     0.12%     0.05%            33  fio              [kernel.vmlinux]  [k] put_pages_list
     0.11%     0.07%            42  fio              [kernel.vmlinux]  [k] __rq_qos_done
     0.11%     0.10%            60  fio              [kernel.vmlinux]  [k] note_interrupt
     0.11%     0.10%            61  fio              [kernel.vmlinux]  [k] wbt_done
     0.10%     0.05%            30  fio              [kernel.vmlinux]  [k] __cond_resched
     0.10%     0.09%            55  fio              [kernel.vmlinux]  [k] __io_fill_cqe_req
     0.09%     0.09%            57  fio              [kernel.vmlinux]  [k] __rq_qos_done_bio
     0.09%     0.06%            39  fio              [kernel.vmlinux]  [k] __bio_add_page
     0.09%     0.04%            22  fio              fio               [.] unlock_file
     0.09%     0.00%             0  fio              [kernel.vmlinux]  [k] asm_sysvec_apic_timer_interrupt
     0.09%     0.04%            26  fio              fio               [.] put_file_log
     0.09%     0.01%             4  fio              [kernel.vmlinux]  [k] fq_flush_iotlb
     0.08%     0.07%            44  fio              [kernel.vmlinux]  [k] idle_cpu
     0.08%     0.06%            38  fio              [kernel.vmlinux]  [k] blk_add_timer
     0.08%     0.05%            28  fio              fio               [.] flow_threshold_exceeded
     0.08%     0.00%             1  fio              [kernel.vmlinux]  [k] intel_flush_iotlb_all
     0.08%     0.05%            33  fio              [kernel.vmlinux]  [k] wbt_issue
     0.08%     0.04%            23  fio              fio               [.] lock_file
     0.08%     0.06%            34  fio              [kernel.vmlinux]  [k] free_unref_page_list
     0.08%     0.07%            41  fio              [kernel.vmlinux]  [k] io_req_task_complete
     0.06%     0.02%            12  fio              fio               [.] td_set_runstate
     0.06%     0.04%            25  fio              [kernel.vmlinux]  [k] dput
     0.06%     0.00%             0  fio              [kernel.vmlinux]  [k] __mem_cgroup_charge
     0.06%     0.00%             1  fio              [kernel.vmlinux]  [k] sysvec_apic_timer_interrupt
     0.06%     0.04%            22  fio              fio               [.] io_u_mark_complete
     0.05%     0.03%            17  fio              fio               [.] queue_full
     0.05%     0.03%            16  fio              fio               [.] get_file
     0.05%     0.00%             1  fio              [kernel.vmlinux]  [k] qi_flush_iotlb
     0.05%     0.01%             9  fio              fio               [.] zbd_unaligned_write
     0.05%     0.04%            27  fio              [nvme_core]       [k] nvme_complete_batch_req
     0.05%     0.03%            18  fio              [kernel.vmlinux]  [k] kthread_blkcg
     0.05%     0.05%            30  fio              [kernel.vmlinux]  [k] qi_submit_sync
     0.05%     0.03%            16  fio              fio               [.] io_u_mark_depth
     0.05%     0.02%            12  fio              [kernel.vmlinux]  [k] first_iovec_segment
     0.05%     0.02%            15  fio              [kernel.vmlinux]  [k] should_fail_bio
     0.05%     0.03%            18  fio              [kernel.vmlinux]  [k] unlock_page
     0.05%     0.01%             5  fio              [kernel.vmlinux]  [k] charge_memcg
     0.04%     0.00%             0  perf             [kernel.vmlinux]  [k] do_syscall_64
     0.04%     0.00%             0  perf             [kernel.vmlinux]  [k] entry_SYSCALL_64
     0.04%     0.00%             0  perf             libc.so.6         [.] __libc_start_call_main
     0.04%     0.00%             0  perf             perf              [.] __cmd_record.constprop.0
     0.04%     0.00%             0  perf             perf              [.] cmd_record
     0.04%     0.00%             0  perf             perf              [.] main
     0.04%     0.00%             0  perf             perf              [.] run_builtin
     0.04%     0.03%            19  fio              [kernel.vmlinux]  [k] iommu_flush_write_buffer
     0.04%     0.00%             0  perf             [kernel.vmlinux]  [k] __x64_sys_write
     0.04%     0.00%             0  perf             [kernel.vmlinux]  [k] ext4_buffered_write_iter
     0.04%     0.00%             0  perf             [kernel.vmlinux]  [k] ext4_file_write_iter
     0.04%     0.00%             0  perf             [kernel.vmlinux]  [k] generic_perform_write
     0.04%     0.00%             0  perf             [kernel.vmlinux]  [k] ksys_write
     0.04%     0.00%             0  perf             [kernel.vmlinux]  [k] vfs_write
     0.04%     0.00%             0  perf             libc.so.6         [.] __GI___libc_write
     0.04%     0.00%             0  perf             perf              [.] record__mmap_read_evlist
     0.04%     0.00%             0  perf             perf              [.] writen
     0.04%     0.04%            24  fio              [kernel.vmlinux]  [k] restore_regs_and_return_to_kernel
     0.04%     0.00%             0  perf             perf              [.] perf_mmap__push
     0.04%     0.00%             0  perf             perf              [.] record__pushfn
     0.04%     0.00%             0  fio              [unknown]         [.] 0000000000000000
     0.04%     0.04%            22  fio              [kernel.vmlinux]  [k] sbitmap_queue_wake_up
     0.04%     0.00%             1  fio              [kernel.vmlinux]  [k] vma_alloc_folio
     0.03%     0.03%            19  fio              [kernel.vmlinux]  [k] pud_huge
     0.03%     0.03%            19  fio              [kernel.vmlinux]  [k] irqentry_enter
     0.03%     0.00%             3  fio              [kernel.vmlinux]  [k] try_charge_memcg
     0.03%     0.00%             1  fio              libc.so.6         [.] __GI___wait4
     0.03%     0.01%             9  fio              [kernel.vmlinux]  [k] I_BDEV
     0.03%     0.00%             1  fio              [kernel.vmlinux]  [k] __folio_alloc
     0.03%     0.00%             0  fio              [kernel.vmlinux]  [k] __vm_munmap
     0.03%     0.00%             0  fio              [kernel.vmlinux]  [k] __x64_sys_munmap
     0.03%     0.00%             0  fio              [kernel.vmlinux]  [k] do_vmi_align_munmap
     0.03%     0.00%             0  fio              [kernel.vmlinux]  [k] do_vmi_munmap
     0.03%     0.00%             0  fio              [kernel.vmlinux]  [k] unmap_region
     0.03%     0.00%             0  fio              libc.so.6         [.] __munmap
     0.03%     0.00%             0  fio              libc.so.6         [.] clock_gettime@@GLIBC_2.17
     0.03%     0.00%             2  fio              [kernel.vmlinux]  [k] __alloc_pages
     0.03%     0.00%             1  fio              [kernel.vmlinux]  [k] __do_softirq
     0.03%     0.03%            16  fio              [kernel.vmlinux]  [k] pmd_huge
